Seconds,Nanoseconds,Commit_Count,Identity_Count,Account_Count,Info_Count,Buffer_Occupancy_Pct,CPU_Pct
1789454345,193913987,29,2,2,0,0.00,9.90
1789454346,193687029,28,1,1,0,0.00,19.19
1789454347,193791066,51,0,0,0,0.00,11.00
1789454348,194871091,23,1,1,0,0.00,5.10
1789454349,193928142,38,0,0,0,0.00,8.16
1789454350,193875181,38,1,1,0,0.00,11.11
1789454351,193880220,36,0,0,0,0.00,12.50
1789454352,195042243,28,3,3,0,0.00,5.21
1789454353,193876297,28,0,0,0,0.00,5.15
1789454354,193884335,30,0,0,0,0.00,5.26
1789454355,193905374,21,0,0,0,0.00,5.05
1789454356,193942412,26,1,1,0,0.00,8.00
1789454357,193921451,37,1,1,0,0.00,7.22
1789454358,193897489,20,0,0,0,0.00,5.05
1789454359,193888528,21,0,0,0,0.00,4.12
1789454360,193880567,20,0,0,0,0.00,4.12
1789454361,193903605,27,2,2,0,0.00,9.00
1789454362,193805645,25,0,0,0,0.00,9.18
1789454363,193887682,25,1,2,0,0.00,8.91
1789454364,193877721,27,1,1,0,0.00,6.19
1789454365,193930758,39,1,0,0,0.00,12.00
1789454366,193872798,31,2,2,0,0.00,7.22
1789454367,193879836,31,2,2,0,0.00,6.25
1789454368,195181857,21,0,0,0,0.00,2.08
1789454369,193928912,26,0,0,0,0.00,4.17
1789454370,193888951,23,0,0,0,0.00,2.11
1789454371,193895989,42,0,0,0,0.00,9.09
1789454372,193893027,23,0,0,0,0.00,7.00
1789454373,193919065,28,1,1,0,0.00,9.80
1789454374,193892104,21,0,0,0,0.00,7.84
1789454375,193931142,22,1,1,0,0.00,4.12
1789454376,193874181,36,1,1,0,0.00,8.08
1789454377,193886219,32,1,1,0,0.00,6.25
1789454378,193883257,29,0,0,0,0.00,7.07
1789454379,193894295,27,0,1,0,0.00,8.00
1789454380,193908333,29,0,0,0,0.00,8.08
1789454381,195233354,31,0,0,0,0.00,7.07
1789454382,193906410,37,0,0,0,0.00,8.16
1789454383,193877448,21,0,0,0,0.00,9.71
1789454384,193890486,38,0,1,0,0.00,6.32
1789454385,193797525,18,0,0,0,0.00,2.06
1789454386,193890562,18,1,2,0,0.00,6.00
1789454387,193891600,31,1,1,0,0.00,5.10
1789454388,193885639,30,0,0,0,0.00,4.21
1789454389,193897677,27,1,1,0,0.00,6.19
1789454390,193913714,18,0,0,0,0.00,5.00
1789454391,193896753,39,0,0,0,0.00,12.75
1789454392,194356785,22,0,0,0,0.00,6.12
1789454393,194529820,24,0,0,0,0.00,8.08
1789454394,193881867,29,0,0,0,0.00,9.90
1789454395,193878905,39,0,1,0,0.00,9.38
1789454396,193798944,30,0,0,0,0.00,8.91
1789454397,193891981,45,0,0,0,0.00,7.37
1789454398,193961018,23,0,0,0,0.00,5.05
1789454399,193892056,29,0,0,0,0.00,7.14
1789454400,193907094,49,0,0,0,0.00,14.85
1789454401,193886132,39,0,0,0,0.00,11.00
1789454402,193880170,23,0,0,0,0.00,7.14
1789454403,193894208,25,0,0,0,0.00,6.06
1789454404,193893246,40,0,0,0,0.00,7.22
1789454405,194020282,45,0,0,0,0.00,11.11
1789454406,211900088,51,0,0,0,0.00,12.87
1789454407,193746361,45,0,0,0,0.00,20.20
1789454408,193691400,36,0,0,0,0.00,10.10
1789454409,193700437,41,0,0,0,0.00,9.28
1789454410,193927472,17,0,0,0,0.00,4.00
1789454411,193888510,41,1,1,0,0.00,8.16
1789454412,193805549,56,0,0,0,0.00,7.37
1789454413,193897586,53,0,0,0,0.00,8.51
1789454414,193892623,42,0,0,0,0.00,10.31
1789454415,193885661,40,1,1,0,0.00,9.18
1789454416,193911698,16,0,0,0,0.00,5.00
1789454417,193790738,48,0,1,0,0.00,8.33
1789454418,193821775,52,0,0,0,0.00,13.00
1789454419,193893812,30,0,0,0,0.00,7.14
